
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      29.97
8                      31.92
16                     30.40
32                     31.55
64                     34.65
128                    39.09
256                    41.03
512                    49.25
1024                   56.55
2048                   75.11
4096                   93.37
8192                  183.56
16384                 125.16
32768                 144.42
65536                 196.45
131072                312.69
262144                480.79
524288               1062.34
1048576              2053.01
