
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      30.46
8                      30.59
16                     29.78
32                     31.30
64                     36.71
128                    38.16
256                    43.26
512                    44.33
1024                   48.02
2048                   75.59
4096                   94.59
8192                  183.94
16384                 127.44
32768                 148.00
65536                 192.05
131072                315.83
262144                495.20
524288               1044.69
1048576              2060.38
