
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      30.39
8                      30.70
16                     31.20
32                     32.10
64                     34.54
128                    37.42
256                    42.00
512                    44.77
1024                   48.47
2048                   75.78
4096                   95.10
8192                  182.62
16384                 127.42
32768                 147.67
65536                 190.86
131072                303.41
262144                472.12
524288               1046.97
1048576              2083.13
