
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      29.91
8                      31.37
16                     30.22
32                     31.85
64                     34.57
128                    38.34
256                    41.68
512                    44.36
1024                   47.14
2048                   75.20
4096                   93.67
8192                  181.95
16384                 124.17
32768                 143.68
65536                 193.61
131072                311.22
262144                478.90
524288               1035.76
1048576              2072.09
