
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      30.76
8                      31.07
16                     31.52
32                     31.68
64                     34.13
128                    37.43
256                    40.82
512                    45.52
1024                   49.45
2048                   77.04
4096                   93.58
8192                  182.86
16384                 124.48
32768                 143.06
65536                 194.44
131072                310.58
262144                486.21
524288               1042.30
1048576              2077.59
