
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      30.34
8                      32.61
16                     31.39
32                     32.24
64                     34.98
128                    39.10
256                    42.66
512                    45.27
1024                   47.22
2048                   76.16
4096                   94.69
8192                  183.06
16384                 123.52
32768                 143.03
65536                 209.94
131072                313.68
262144                482.53
524288               1037.23
1048576              2054.55
