
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      19.35
8                      18.45
16                     19.48
32                     21.82
64                     23.60
128                    28.29
256                    28.87
512                    31.37
1024                   36.05
2048                   45.45
4096                   57.25
8192                 2380.45
16384                 176.49
32768                2091.37
65536                 256.12
131072               1444.55
262144                632.63
524288               1704.85
1048576              3288.24
