
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      62.18
8                      39.56
16                     74.75
32                     33.68
64                     65.19
128                    66.47
256                    38.42
512                    63.37
1024                   76.03
2048                   95.88
4096                   97.21
8192                 2117.66
16384                 175.53
32768                2119.00
65536                 256.20
131072               1453.14
262144                473.17
524288               1039.39
1048576              3030.53
