
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      17.89
8                      18.48
16                     19.25
32                     19.86
64                     27.15
128                    34.57
256                    34.08
512                    34.54
1024                   41.06
2048                   52.77
4096                   57.08
8192                 2155.12
16384                 184.57
32768                3416.36
65536                 252.40
131072               1457.95
262144                607.27
524288               1013.35
1048576              2073.83
