
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      18.00
8                      18.32
16                     17.43
32                     20.65
64                     24.55
128                    27.71
256                    29.08
512                    30.84
1024                   55.46
2048                   85.12
4096                  192.64
8192                 2114.66
16384                 171.00
32768                2241.05
65536                 266.61
131072               1475.68
262144                595.97
524288               1035.04
1048576              2049.75
