
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      54.21
8                      41.34
16                     61.49
32                     19.44
64                     23.83
128                    27.47
256                    31.40
512                    31.50
1024                   36.56
2048                   49.21
4096                   59.89
8192                 2204.87
16384                 254.96
32768                2194.32
65536                 252.96
131072               1430.81
262144                477.35
524288               1051.74
1048576              2018.52
