
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      17.48
8                      20.17
16                     18.68
32                     23.23
64                     27.44
128                    28.92
256                    31.71
512                    32.68
1024                   34.00
2048                   46.58
4096                   59.44
8192                 2139.71
16384                 312.58
32768                2116.29
65536                 328.86
131072               1793.20
262144                885.80
524288               1222.95
1048576              2112.86
