
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.55
8                      40.38
16                     30.28
32                     35.29
64                     66.67
128                    27.84
256                    35.59
512                    30.71
1024                   34.87
2048                   56.07
4096                   71.12
8192                 2097.78
16384                 174.86
32768                2096.91
65536                 270.45
131072               1764.77
262144                574.35
524288               1369.02
1048576              2570.33
