
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      18.77
8                      20.91
16                     22.66
32                     31.35
64                     26.45
128                    32.71
256                    38.23
512                    39.18
1024                   40.86
2048                   52.84
4096                   64.40
8192                 2271.63
16384                 181.79
32768                2088.00
65536                 267.12
131072               1439.51
262144                476.60
524288                989.38
1048576              1968.48
