
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      25.95
8                      24.67
16                     24.70
32                     25.85
64                     28.02
128                    32.15
256                    33.05
512                    34.66
1024                   38.45
2048                   50.17
4096                   62.80
8192                 1945.50
16384                 160.70
32768                2050.04
65536                 249.74
131072               1410.87
262144                469.29
524288                997.01
1048576              2012.99
