
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      24.14
8                      25.18
16                     24.70
32                     25.74
64                     28.11
128                    32.41
256                    31.96
512                    34.40
1024                   38.22
2048                   49.96
4096                   61.66
8192                 1928.92
16384                 158.73
32768                2043.08
65536                 253.54
131072               1404.07
262144                467.42
524288                999.82
1048576              2002.96
