
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      24.84
8                      24.76
16                     24.66
32                     25.77
64                     27.98
128                    31.86
256                    32.01
512                    34.11
1024                   38.06
2048                   49.82
4096                   62.62
8192                 1948.96
16384                 159.62
32768                2070.50
65536                 253.66
131072               1404.23
262144                466.90
524288               1001.69
1048576              2010.84
