
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      57.17
8                      69.02
16                     34.52
32                     58.67
64                    193.06
128                    76.54
256                    83.97
512                    90.64
1024                   78.12
2048                  133.25
4096                  203.97
8192                  862.38
16384                3101.12
32768                 514.84
65536                 795.49
131072                456.52
262144               2370.11
524288               8203.01
1048576             13910.20
