
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     121.78
8                     109.41
16                     85.50
32                    103.45
64                    137.03
128                   154.42
256                   129.94
512                    54.96
1024                   79.59
2048                  382.47
4096                  705.06
8192                  768.53
16384                 210.72
32768                 251.14
65536                 266.49
131072                952.42
262144               2580.79
524288              10282.77
1048576             13150.28
