
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     510.78
8                     135.60
16                    113.69
32                     68.67
64                    211.07
128                   251.91
256                   473.31
512                   537.25
1024                  156.55
2048                  275.96
4096                  451.35
8192                  409.31
16384                1849.59
32768                 753.02
65536                2086.33
131072               1091.15
262144               4092.39
524288               5171.08
1048576             10527.06
