
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     185.61
8                      45.85
16                     37.09
32                     44.93
64                     51.76
128                    68.35
256                    85.24
512                   131.15
1024                  192.64
2048                  922.90
4096                  661.26
8192                  528.37
16384                 180.72
32768                 245.46
65536                 236.55
131072                608.68
262144               1512.00
524288               7426.20
1048576             11186.74
