
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      18.87
8                      23.09
16                     19.12
32                     21.10
64                     29.85
128                    31.41
256                    57.23
512                    33.87
1024                   64.04
2048                  155.61
4096                   61.85
8192                   64.83
16384                 104.97
32768                 162.05
65536                 290.86
131072                256.38
262144                479.48
524288               1145.39
1048576              2278.83
