
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      20.14
8                      17.82
16                     21.12
32                     19.74
64                     24.07
128                    25.61
256                    28.36
512                    33.21
1024                   33.58
2048                   38.89
4096                   71.47
8192                  254.30
16384                 151.01
32768                 318.09
65536                 273.17
131072                408.12
262144                780.71
524288               1122.57
1048576              2217.70
