
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      29.80
8                      42.26
16                     36.83
32                     34.22
64                     64.18
128                    81.30
256                   112.84
512                   103.04
1024                   74.68
2048                   39.92
4096                   58.06
8192                   63.51
16384                  90.98
32768                 141.48
65536                 167.78
131072                267.29
262144                477.02
524288               1134.68
1048576              2143.78
