
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      39.19
8                      27.28
16                     45.03
32                     35.56
64                     25.54
128                    31.97
256                    40.02
512                    31.01
1024                   34.56
2048                   40.41
4096                   58.54
8192                   62.86
16384                  99.06
32768                 150.75
65536                 200.29
131072                334.47
262144                508.97
524288               1298.31
1048576              2236.40
