
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      20.36
8                      20.56
16                     17.85
32                     19.91
64                     23.36
128                    26.72
256                    30.00
512                    30.01
1024                   33.73
2048                   38.66
4096                   64.43
8192                   66.29
16384                  91.35
32768                 151.04
65536                 164.87
131072                247.24
262144                451.77
524288               1070.57
1048576              2178.71
