
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      17.95
8                      17.98
16                     20.84
32                     20.77
64                     25.60
128                    27.51
256                    48.06
512                    32.41
1024                   32.93
2048                   40.40
4096                   62.99
8192                   78.24
16384                 217.50
32768                 211.37
65536                 174.89
131072                698.35
262144               1185.77
524288               1529.65
1048576              2314.11
