
# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      17.85
8                      17.98
16                     26.27
32                     20.50
64                     24.09
128                    25.12
256                    28.99
512                    33.09
1024                   36.42
2048                   38.64
4096                   58.97
8192                   64.33
16384                  87.75
32768                 112.99
65536                 178.58
131072                368.88
262144                602.01
524288               1105.60
1048576              3196.85
