
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      18.98
8                      19.15
16                     19.24
32                     22.21
64                     21.79
128                    24.08
256                    26.88
512                    29.45
1024                   33.00
2048                   36.22
4096                   81.91
8192                   84.02
16384                  95.73
32768                 117.72
65536                 161.77
131072                246.63
262144                445.45
524288               1020.63
1048576              2045.11
