
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      19.28
8                      19.17
16                     18.86
32                     20.20
64                     22.68
128                    24.14
256                    27.30
512                    29.50
1024                   33.46
2048                   37.54
4096                   82.66
8192                   82.03
16384                  93.23
32768                 129.85
65536                 161.02
131072                234.82
262144                440.85
524288               1013.62
1048576              2037.11
