
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      19.49
8                      19.18
16                     19.29
32                     20.16
64                     21.78
128                    24.09
256                    26.97
512                    29.48
1024                   32.99
2048                   35.99
4096                   81.89
8192                   82.10
16384                  92.19
32768                 122.57
65536                 166.32
131072                258.85
262144                441.22
524288               1025.96
1048576              2024.08
