
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      19.28
8                      19.18
16                     18.99
32                     20.28
64                     21.65
128                    24.22
256                    27.00
512                    29.45
1024                   32.90
2048                   36.09
4096                   81.98
8192                   82.55
16384                  91.79
32768                 118.13
65536                 167.48
131072                238.28
262144                438.30
524288               1018.46
1048576              2026.98
