
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      19.10
8                      18.87
16                     20.03
32                     20.26
64                     21.90
128                    24.13
256                    27.24
512                    29.34
1024                   32.87
2048                   36.17
4096                   82.24
8192                   82.52
16384                  91.78
32768                 115.45
65536                 163.43
131072                237.04
262144                439.20
524288               1016.01
1048576              2034.51
