# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.07
1                       2.08
2                       2.07
4                       2.08
8                       2.08
16                      2.09
32                      2.34
64                      2.60
128                     2.63
256                     3.32
512                     3.33
1024                    3.89
2048                    4.02
4096                    4.92
8192                    5.36
16384                   6.23
32768                   8.69
65536                  11.86
131072                 18.92
262144                 29.88
524288                 51.12
1048576                94.21
2097152               179.09
4194304               349.12
