# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.40
2                       4.81
4                       9.63
8                      19.28
16                     38.46
32                     76.65
64                    150.60
128                   298.44
256                   569.35
512                  1129.23
1024                 2163.91
2048                 4412.07
4096                 6303.08
8192                 8936.02
16384                9223.93
32768                9631.46
65536               11960.74
131072              12151.60
262144              12245.92
524288              12295.59
1048576             12320.43
2097152             12332.26
4194304             12338.97
