# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.40
2                       4.82
4                       9.63
8                      19.24
16                     38.51
32                     76.59
64                    150.47
128                   298.35
256                   567.15
512                  1127.33
1024                 2131.72
2048                 4398.92
4096                 6294.37
8192                 8866.43
16384                9237.22
32768                9638.63
65536               11967.38
131072              12154.26
262144              12247.46
524288              12296.08
1048576             12320.62
2097152             12332.38
4194304             12332.32
