# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.40
2                       4.80
4                       9.63
8                      19.30
16                     38.53
32                     76.68
64                    150.26
128                   298.68
256                   570.17
512                  1123.03
1024                 2169.86
2048                 4393.71
4096                 6316.69
8192                 8890.66
16384                9201.84
32768                9721.44
65536               11960.60
131072              12152.29
262144              12247.16
524288              12295.68
1048576             12320.62
2097152             12332.46
4194304             12338.99
