# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.40
2                       4.81
4                       9.61
8                      19.26
16                     38.51
32                     76.55
64                    150.19
128                   298.17
256                   570.69
512                  1125.91
1024                 2191.41
2048                 4385.60
4096                 6325.44
8192                 8878.08
16384                9127.11
32768                9643.41
65536               11965.66
131072              12148.61
262144              12242.68
524288              12295.11
1048576             12320.51
2097152             12332.43
4194304             12338.80
