
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.19
8                      33.53
16                     32.29
32                     31.72
64                     34.40
128                    37.89
256                    43.34
512                    44.32
1024                   50.49
2048                   86.81
4096                  118.78
8192                  226.19
16384                 143.12
32768                 176.41
65536                 240.72
131072                372.14
262144               1259.99
524288               3277.46
1048576              6580.19
