
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      31.35
8                      31.54
16                     30.81
32                     36.50
64                     34.66
128                    39.20
256                    42.40
512                    45.98
1024                   49.49
2048                   89.14
4096                  116.29
8192                  227.32
16384                 142.84
32768                 167.45
65536                 234.41
131072                353.10
262144               1242.20
524288               3382.16
1048576              6375.37
