
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      31.46
8                      32.63
16                     32.37
32                     32.70
64                     35.38
128                    37.11
256                    42.41
512                    45.10
1024                   50.48
2048                   85.07
4096                  118.74
8192                  228.04
16384                 143.45
32768                 159.60
65536                 217.48
131072                331.27
262144                634.85
524288               1140.39
1048576              2178.95
