
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      31.80
8                      30.96
16                     30.57
32                     31.83
64                     34.46
128                    37.60
256                    41.59
512                    45.34
1024                   48.31
2048                   85.12
4096                  120.83
8192                  225.94
16384                 141.01
32768                 165.52
65536                 223.30
131072                328.20
262144                596.09
524288               1086.80
1048576              2143.53
