
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.82
8                      31.35
16                     30.92
32                     33.28
64                     34.42
128                    38.95
256                    41.63
512                    44.50
1024                   48.33
2048                   86.41
4096                  118.80
8192                  227.15
16384                 140.03
32768                 173.21
65536                 217.94
131072                335.19
262144                525.97
524288               1098.54
1048576              2133.94
