
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.59
8                      31.14
16                     30.75
32                     32.05
64                     34.80
128                    37.26
256                    41.49
512                    46.38
1024                   49.86
2048                   87.10
4096                  116.84
8192                  227.02
16384                 142.51
32768                 159.93
65536                 221.23
131072                340.23
262144                566.49
524288               1103.40
1048576              2128.67
