
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.24
8                      34.52
16                     30.86
32                     31.89
64                     34.98
128                    37.39
256                    41.70
512                    44.69
1024                   48.75
2048                   86.06
4096                  119.71
8192                  226.64
16384                 144.89
32768                 173.88
65536                 244.84
131072                380.54
262144               1254.63
524288               3295.80
1048576              6234.69
