
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.50
8                      30.57
16                     31.45
32                     33.25
64                     34.90
128                    38.60
256                    41.58
512                    46.95
1024                   48.43
2048                   87.17
4096                  119.34
8192                  224.41
16384                 144.27
32768                 162.64
65536                 255.30
131072                374.34
262144               1318.89
524288               3415.30
1048576              6377.93
