
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      31.33
8                      31.96
16                     31.04
32                     34.76
64                     36.66
128                    39.42
256                    43.58
512                    46.60
1024                   52.51
2048                   87.30
4096                  117.99
8192                  230.60
16384                 142.63
32768                 166.60
65536                 232.34
131072                345.49
262144                505.88
524288               1102.79
1048576              2190.19
