# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.93
2                       3.88
4                       7.74
8                      15.52
16                     31.02
32                     61.57
64                    121.54
128                   241.64
256                   459.50
512                   901.20
1024                 1694.04
2048                 3972.56
4096                 5829.46
8192                 8484.16
16384                9401.65
32768                9746.21
65536               12022.38
131072              12169.99
262144              12250.67
524288              12299.48
1048576             12322.94
2097152             12333.41
4194304             12339.79
