# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.41
1                       2.40
2                       2.40
4                       2.41
8                       2.41
16                      2.42
32                      2.60
64                      2.91
128                     2.94
256                     3.66
512                     3.75
1024                    4.23
2048                    4.44
4096                    5.45
8192                    6.26
16384                   7.17
32768                   9.25
65536                  12.61
131072                 19.97
262144                 30.79
524288                 52.02
1048576                94.61
2097152               179.82
4194304               349.32
