# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.87
2                       3.75
4                       7.49
8                      14.97
16                     29.95
32                     59.76
64                    117.53
128                   234.26
256                   443.84
512                   875.88
1024                 1632.74
2048                 4086.07
4096                 5581.77
8192                 8440.16
16384                9261.07
32768                9647.97
65536               11942.03
131072              12119.53
262144              12226.20
524288              12288.11
1048576             12316.51
2097152             12331.21
4194304             12338.29
