# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.43
2                       4.85
4                       9.73
8                      19.44
16                     38.77
32                     77.32
64                    150.06
128                   297.82
256                   565.70
512                  1117.98
1024                 2180.36
2048                 4332.43
4096                 6224.55
8192                 8843.48
16384                9122.18
32768                9624.33
65536               12003.07
131072              12173.80
262144              12255.55
524288              12301.14
1048576             12323.38
2097152             12333.83
4194304             12339.59
