# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.38
1                       2.38
2                       2.38
4                       2.39
8                       2.39
16                      2.39
32                      2.57
64                      3.03
128                     3.07
256                     3.81
512                     3.84
1024                    4.45
2048                    4.72
4096                    5.91
8192                    7.07
16384                   8.70
32768                  11.35
65536                  14.98
131072                 24.40
262144                 30.83
524288                 52.10
1048576                94.59
2097152               179.69
4194304               349.51
