# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.91
1                       1.91
2                       1.91
4                       1.92
8                       1.91
16                      1.92
32                      2.13
64                      2.48
128                     2.54
256                     3.24
512                     3.25
1024                    3.85
2048                    4.08
4096                    4.97
8192                    5.78
16384                   7.49
32768                  10.64
65536                  14.48
131072                 23.99
262144                 28.44
524288                 50.11
1048576                92.89
2097152               177.87
4194304               347.58
