# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.33
2                       4.68
4                       9.36
8                      18.73
16                     37.37
32                     74.65
64                    144.30
128                   286.44
256                   544.00
512                  1080.03
1024                 2083.02
2048                 4162.26
4096                 6066.11
8192                 8657.07
16384                9103.05
32768                9520.33
65536               11912.70
131072              12107.47
262144              12220.30
524288              12282.19
1048576             12313.75
2097152             12329.97
4194304             12337.80
