# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.87
1                       1.87
2                       1.86
4                       1.87
8                       1.87
16                      1.88
32                      2.07
64                      2.36
128                     2.39
256                     3.11
512                     3.18
1024                    3.67
2048                    3.87
4096                    4.67
8192                    5.27
16384                   6.29
32768                   8.51
65536                  11.93
131072                 19.28
262144                 28.94
524288                 50.19
1048576                93.02
2097152               177.89
4194304               347.79
