# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.42
2                       4.86
4                       9.75
8                      19.50
16                     38.89
32                     77.50
64                    149.77
128                   298.16
256                   568.59
512                  1119.93
1024                 2201.24
2048                 4337.64
4096                 6215.68
8192                 8803.94
16384                9120.24
32768                9581.02
65536               12002.30
131072              12169.25
262144              12256.85
524288              12301.29
1048576             12322.84
2097152             12333.46
4194304             12339.50
