# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.93
1                       1.93
2                       1.93
4                       1.94
8                       1.93
16                      1.94
32                      2.16
64                      2.33
128                     2.34
256                     2.80
512                     3.06
1024                    3.58
2048                    3.73
4096                    4.45
8192                    4.81
16384                   5.88
32768                   8.49
65536                  12.06
131072                 19.43
262144                 29.38
524288                 50.86
1048576                93.13
2097152               178.47
4194304               348.39
