# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.28
1                       2.28
2                       2.28
4                       2.28
8                       2.28
16                      2.29
32                      2.49
64                      2.88
128                     2.90
256                     3.66
512                     3.77
1024                    4.22
2048                    4.49
4096                    5.64
8192                    6.59
16384                   7.76
32768                   9.13
65536                  12.37
131072                 19.39
262144                 30.66
524288                 51.83
1048576                94.18
2097152               179.45
4194304               349.11
