# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.40
1                       2.40
2                       2.41
4                       2.41
8                       2.41
16                      2.42
32                      2.61
64                      2.90
128                     2.92
256                     3.65
512                     3.76
1024                    4.24
2048                    4.41
4096                    5.48
8192                    6.11
16384                   7.06
32768                   9.18
65536                  12.57
131072                 19.76
262144                 30.79
524288                 52.10
1048576                94.64
2097152               179.87
4194304               349.51
