# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.42
2                       4.84
4                       9.67
8                      19.33
16                     38.84
32                     77.41
64                    150.05
128                   296.73
256                   567.22
512                  1117.53
1024                 2118.68
2048                 4297.23
4096                 6185.59
8192                 8864.83
16384                9189.25
32768                9635.48
65536               12004.17
131072              12169.22
262144              12254.89
524288              12301.11
1048576             12323.04
2097152             12333.57
4194304             12339.56
