# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.87
1                       1.87
2                       1.87
4                       1.87
8                       1.88
16                      1.88
32                      2.05
64                      2.32
128                     2.34
256                     3.06
512                     3.11
1024                    3.64
2048                    3.83
4096                    4.65
8192                    5.17
16384                   6.20
32768                   8.39
65536                  11.73
131072                 18.87
262144                 28.57
524288                 49.91
1048576                92.51
2097152               177.67
4194304               347.41
