# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.42
2                       4.85
4                       9.70
8                      19.43
16                     38.81
32                     77.66
64                    149.81
128                   298.09
256                   569.61
512                  1120.18
1024                 2167.91
2048                 4315.80
4096                 6276.78
8192                 8903.27
16384                9117.64
32768                9681.76
65536               11997.97
131072              12145.53
262144              12240.64
524288              12294.61
1048576             12320.35
2097152             12331.98
4194304             12339.06
