# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       2.43
2                       4.87
4                       9.74
8                      19.49
16                     38.92
32                     77.75
64                    149.94
128                   298.86
256                   568.15
512                  1118.02
1024                 2117.82
2048                 4309.41
4096                 6233.67
8192                 8861.88
16384                9212.86
32768                9665.90
65536               12008.52
131072              12173.85
262144              12259.07
524288              12301.69
1048576             12323.67
2097152             12334.03
4194304             12339.85
