# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       2.40
1                       2.40
2                       2.40
4                       2.41
8                       2.41
16                      2.41
32                      2.61
64                      2.89
128                     2.91
256                     3.63
512                     3.72
1024                    4.23
2048                    4.40
4096                    5.48
8192                    6.13
16384                   6.94
32768                   9.24
65536                  12.62
131072                 19.78
262144                 31.13
524288                 52.51
1048576                94.95
2097152               180.16
4194304               349.85
